name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
City of Rockwood - (TN),TN,307620.0,14709.0,16223.0,Municipal,190.333,1.697,112.15852,19.0,19.0,SERC,0.0,321772.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Rocky Mount - (NC),NC,699987.0,28331.0,16226.0,Municipal,72.02,1.69,42.615385,45.0,45.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Runestone Electric Assn,MN,238264.0,14588.0,16368.0,Cooperative,69.42,1.03,67.398058,57.0,0.0,MRO,31.0,239091.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Town of Rowley - (MA),MA,43668.0,3101.0,16377.0,Municipal,43.27,.,.,4.0,4.0,NPCC,0.0,48243.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rural Electric Coop, Inc",OK,405523.0,11796.0,16382.0,Cooperative,234.1,2.435,96.13963,52.0,0.0,SPP,0.0,426258.0,SWPP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rural Electric Conven Coop,IL,114013.0,5862.0,16420.0,Cooperative,86.96,1.087,80,28.0,0.0,RFC,1946.0,121885.0,MISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Russell - (KS),KS,111059.0,3365.0,16440.0,Municipal,5.136,0.314,16.356688,16.0,10.0,SPP,1358.0,122651.0,SWPP,5.8,4.8,10.6,0.0,0.0,0.0,0.005222449328735177,0.004322027030677388,0.009544476359412564,0.0,0.0,0.0
"Rusk County Electric Coop, Inc",TX,635932.0,22387.0,16461.0,Cooperative,403.6,.,.,41.0,0.0,SPP,0.0,665935.0,SWPP,31.484,5.712,37.196,0.0,0.0,0.0,0.004950843800909531,0.0008982092424976255,0.005849053043407156,0.0,0.0,0.0
Rutherford Elec Member Corp,NC,1301651.0,70835.0,16496.0,Cooperative,55.15,0.581,94.922547,201.0,0.0,SERC,0.0,1368803.0,DUK,485.12,0.0,485.12,0.0,7525.0,0.0,0.03726959069673822,0.0,0.03726959069673822,0.0,0.0,10.623279452248182
City of Salem - (VA),VA,359020.0,13532.0,16558.0,Municipal,15.76,0.118,133.55932,45.0,0.0,RFC,0.0,379717.0,PJM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salt River Project,AZ,28853719.0,1076347.0,16572.0,Political Subdivision,43.27,0.71,60.943662,1416.0,0.0,WECC,32896105.0,5082396.0,SRP,47669.0,0.0,47669.0,644377.0,21938.0,113.02,0.1652092057873025,0.0,0.1652092057873025,2.233254576299159,0.0003916999399626787,2.0381902862181063
Salt River Electric Coop Corp,KY,1225304.0,52831.0,16587.0,Cooperative,78.83,1.05,75.07619,100.0,55.0,RFC,0.0,1269912.0,PJM,147.6,0.0,147.6,0.0,0.0,0.0,0.01204599021957,0.0,0.01204599021957,0.0,0.0,0.0
"San Luis Valley R E C, Inc",CO,221014.0,12709.0,16603.0,Cooperative,103.2,0.096,1075,54.0,0.0,WECC,0.0,229818.0,WACM,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.022170541232682094,0.0,0.0
City of San Antonio - (TX),TX,22664813.0,850161.0,16604.0,Municipal,54.86,0.79,69.443038,614.0,22.0,TRE,25208143.0,4911730.0,ERCO,0.0,0.0,0.0,172463.0,485576.0,25354.0,0.0,0.0,0.0,0.7609284047479236,0.11186503060934144,57.11576983653684
"Santee Electric Coop, Inc",SC,1243324.0,43484.0,16606.0,Cooperative,159.75,.,.,138.0,0.0,0,0.0,0.0,SC,0.0,0.0,0.0,16.0,46.0,125.0,0.0,0.0,0.0,0.0012868729309496157,0.010053694773043872,0.1057860362432159
San Diego Gas & Electric Co,CA,14405807.0,1452138.0,16609.0,Investor Owned,68.64,0.596,115.16779,1061.0,757.0,WECC,2558141.0,22486042.0,CISO,33.37,0.0,33.37,242605.0,895133.0,335.64,0.00023164269797589263,0.0,0.00023164269797589263,1.6840778166749009,0.0023298937713104166,61.64241965983949
Sam Houston Electric Coop Inc,TX,1465283.0,76776.0,16613.0,Cooperative,310,.,.,117.0,0.0,SERC,0.0,1556608.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Patricio Electric Coop Inc,TX,297423.0,11624.0,16627.0,Cooperative,154.688,1.699,91.046498,39.0,38.0,TRE,0.0,314137.0,ERCO,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16345492085340674
