year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,wind_pct,nm_pct,ee_pct,dem_res_cust_pct
2019.0,Horry Electric Coop Inc,SC,1209397.0,81919.0,8786.0,Cooperative,68.035,0.863,78.835458,119.0,0.0,SERC,0.0,1260123.0,0.038,0.0,0.038,0.0,5769.0,46.15,3.1420617051307385e-06,0.0,3.1420617051307385e-06,0.0,7.0423222939733146
2019.0,Idaho Power Co,ID,13871943.0,545819.0,9191.0,Investor Owned,120,1.15,104.34783,604.0,374.0,WECC,13420280.0,5194040.0,0.0,0.0,0.0,197159.0,25934.0,0.0,0.0,0.0,0.0,1.4212789080808652,4.751391944948783
2019.0,Indianapolis Power & Light Co,IN,13364533.0,503198.0,9273.0,Investor Owned,75.603,0.884,85.523756,436.0,364.0,RFC,14933879.0,1425186.0,995.0,0.9,995.9,196042.0,57195.0,365.0,0.00744507870196437,6.7342420419778235e-06,0.007451812944006348,1.4668825315482403,11.366301137921852
2019.0,Indiana Michigan Power Co,IN,15008675.0,467397.0,9324.0,Investor Owned,189.4,1.185,159.83122,641.0,60.0,RFC,20365361.0,7660288.0,6578.483,73.968,6652.577,136437.0,2589.0,0.0,0.0438312042868541,0.0004928349771049078,0.044324878778439804,0.9090542636175412,0.5539188313147068
2019.0,Jackson County Rural E M C - (IN),IN,470426.0,24657.0,9576.0,Cooperative,146.148,1.532,95.396867,36.0,0.0,RFC,0.0,494049.0,95.0,0.055,95.055,1214.0,629.0,0.0,0.020194462040788563,1.1691530655193378e-05,0.020206153571443758,0.2580639675528138,2.5509997161049602
2019.0,Jackson Electric Member Corp - (GA),GA,5528323.0,233101.0,9601.0,Cooperative,73.05,0.885,82.542373,234.0,0.0,SERC,0.0,5647196.0,51.689,0.0,51.689,3370.0,24099.0,0.0,0.0009349851663877093,0.0,0.0009349851663877093,0.06095881156003367,10.338436986542314
2019.0,"Jo-Carroll Energy, Inc",IL,426380.0,20726.0,9750.0,Cooperative,63,0.65,96.923077,104.0,104.0,MRO,45.0,439292.0,0.0,0.0,0.0,701.0,1417.0,0.0,0.0,0.0,0.0,0.16440733617899525,6.836823313712245
2019.0,Johnson County Rural E M C,IN,511410.0,27698.0,9778.0,Cooperative,37.057,0.819,45.246642,40.0,0.0,RFC,0.0,532771.0,101.82,0.082,101.902,1274.0,2.0,32.0,0.01990966152402182,1.6034101796992628e-05,0.019925695625818814,0.24911519133376353,0.007220737959419453
2019.0,Evergy Metro,MO,8404298.0,291626.0,10000.0,Investor Owned,91.38,0.977,93.531218,470.0,0.0,SPP,16027949.0,5502645.0,11126.258,0.364,11126.622,96719.796,35969.0,606.57,0.13238771400062205,4.331117245009636e-06,0.13239204511786706,1.1508372977731156,12.333948276216798
2019.0,Kentucky Utilities Co,KY,17855711.0,528336.0,10171.0,Investor Owned,98.4,0.954,103.14465,1115.0,0.0,SERC,19080426.0,1584940.0,313.029,0.0,313.029,50581.684,71609.0,0.0,0.0017531029708086115,0.0,0.0017531029708086115,0.2832801449351415,13.553685533448412
2019.0,Lincoln Electric System,NE,3187004.0,141650.0,11018.0,Municipal,13.5,0.22,61.363636,185.0,184.0,MRO,1393025.0,3093686.0,0.0,0.0,0.0,16340.0,1741.0,0.0,0.0,0.0,0.0,0.512707232246963,1.229085774797035
2019.0,Los Angeles Department of Water & Power,CA,21530203.0,1447371.0,11208.0,Municipal,112.84,0.78,144.66667,2360.0,1704.0,WECC,21437466.0,3726632.0,169882.509,0.0,169882.509,353242.0,10.0,254.18,0.7890427647152235,0.0,0.7890427647152235,1.6406812327779723,0.0006909078598369043
2019.0,Louisville Gas & Electric Co,KY,11655309.0,415853.0,11249.0,Investor Owned,85.03,1.17,72.675214,619.0,0.0,SERC,13202617.0,955222.0,210.749,0.327,211.076,58229.0,84547.0,0.0,0.001808180289342822,2.8055884232670283e-06,0.001810985877766089,0.49959207430708186,20.33098234231808
