name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,pv_pct,nm_pct,ee_pct,dem_res_pct,dem_res_cust_pct
"ALLETE, Inc.",MN,9014805.0,147340.0,12647.0,Investor Owned,144.02,1.35,106.68148,369.0,0.0,MRO,6477004.0,7581781.0,MISO,572.602,5.327,577.929,61243.0,7897.0,746.0,0.006351795740451402,0.006410887423521639,0.6793602301991003,0.008275276059770567,5.359712230215828
Mississippi Power Co,MS,9608278.0,188342.0,12686.0,Investor Owned,76.42,0.95,80.442105,276.0,0.0,SERC,18268656.0,186028.0,SOCO,0.0,0.0,0.0,21536.16,15.0,0.0,0.0,0.0,0.22414172445884684,0.0,0.007964235274128978
Evergy Missouri West,MO,8133619.0,328464.0,12698.0,Investor Owned,125.16,1.189,105.26493,530.0,0.0,SPP,2296789.0,6981655.0,SWPP,19392.761,20.084,19412.845,95379.788,30962.0,1131.476,0.23842721179833967,0.23867413755180814,1.172661124156418,0.013911101564998312,9.42629938136295
Modesto Irrigation District,CA,2486395.0,129642.0,12745.0,Political Subdivision,32.75,0.452,72.455752,189.0,0.0,WECC,688288.0,3046345.0,BANC,0.0,0.0,0.0,7464.0,11186.0,0.0,0.0,0.0,0.30019365386432967,0.0,8.628376606346709
Nebraska Public Power District,NE,3167286.0,90352.0,13337.0,Political Subdivision,46.5,0.49,94.897959,105.0,11.0,MRO,16981613.0,4445509.0,SWPP,210.821,0.0,210.821,4963.852,365.0,0.0,0.006656203449893694,0.006656203449893694,0.15672256941747603,0.0,0.40397556224544007
Nevada Power Co,NV,19505109.0,951035.0,13407.0,Investor Owned,37.68,0.43,87.627907,1017.0,44.0,WECC,16190538.0,6193949.0,NEVP,0.0,0.0,0.0,205452.0,69313.0,28368.0,0.0,0.0,1.0533240291043748,0.14543881810657916,7.288164999185098
"Entergy New Orleans, LLC",LA,5823938.0,204479.0,13478.0,Investor Owned,158.4,1.345,117.76952,247.0,0.0,SERC,2977988.0,4973133.0,MISO,0.0,0.0,0.0,46556.0,1146.0,0.0,0.0,0.0,0.7993903781255912,0.0,0.5604487502384108
Niagara Mohawk Power Corp.,NY,14118253.0,1396453.0,13573.0,Investor Owned,135.57,1.053,128.74644,2090.0,11.0,NPCC,0.0,14584609.0,NYIS,0.0,0.0,0.0,377931.0,6060.0,1285.5,0.0,0.0,2.6768963553776803,0.009105234195760623,0.43395660290750926
Norris Public Power District,NE,943196.0,24538.0,13664.0,Political Subdivision,158.7,1.602,99.06367,224.0,0.0,MRO,0.0,1061049.0,SWPP,420.68,43.742,464.422,2724.0,1549.0,0.0,0.04460154623217232,0.049239182524098916,0.28880529603603067,0.0,6.3126579183307525
"North Arkansas Elec Coop, Inc",AR,619054.0,37022.0,13676.0,Cooperative,210.85,1.72,122.58721,93.0,85.0,SPP,0.0,662778.0,MISO,0.0,0.0,0.0,278.259,8697.0,0.0,0.0,0.0,0.044949067448074004,0.0,23.491437523634595
