year,name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,pv_mwh,wind_mwh,nm_mwh,pv_pct,wind_pct,nm_pct,circuit_pct
2019.0,Commonwealth Edison Co,IL,26854515.0,2730588.0,4110.0,Investor Owned,51.332,0.63,81.479365,5619.0,282.0,RFC,0.0,30230565.0,0.0,0.0,0.0,0.0,0.0,0.0,5.018686599038975
2019.0,Community Electric Coop,VA,194922.0,11204.0,4117.0,Cooperative,218.693,1.811,120.75814,25.0,4.0,SERC,0.0,209350.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2019.0,Concho Valley Elec Coop Inc,TX,443646.0,15030.0,4146.0,Cooperative,451.8,3.46,130.57803,55.0,0.0,TRE,0.0,460923.0,232.337,0.631,232.968,0.05236990753889362,0.0001422305171240133,0.05251213805601763,0.0
2019.0,Connecticut Light & Power Co,CT,9551527.0,944461.0,4176.0,Investor Owned,249.17,0.985,252.96447,1023.0,0.0,NPCC,0.0,12473031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Consolidated Electric Coop,MO,253650.0,8056.0,4237.0,Cooperative,71.88,1.02,70.470588,44.0,0.0,SERC,0.0,276568.0,7.828,0.0,7.828,0.0030861423220973783,0.0,0.0030861423220973783,0.0
2019.0,Consumers Energy Co,MI,32707947.0,1836668.0,4254.0,Investor Owned,233.341,1.124,207.59875,2332.0,686.0,RFC,16543133.0,22512326.0,0.0,0.0,0.0,0.0,0.0,0.0,29.416809605488854
2019.0,Conway Corporation,AR,974400.0,31125.0,4280.0,Municipal,22.43,0.339,66.165192,44.0,0.0,SERC,256257.0,753966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Cookson Hills Elec Coop, Inc",OK,296196.0,17928.0,4296.0,Cooperative,134.929,1.008,133.85813,45.0,0.0,SPP,0.0,315542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Coos-Curry Electric Coop, Inc",OR,331562.0,17987.0,4317.0,Cooperative,122.68,1.01,121.46535,42.0,0.0,WECC,0.0,349199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Cooperative L&P Assn Lake County,MN,102857.0,6197.0,4346.0,Cooperative,508.025,2.882,176.27516,13.0,0.0,MRO,0.0,107695.0,63.58,1.22,64.8,0.06181397474163159,0.0011861127584899423,0.06300008750012152,0.0
2019.0,Corn Belt Energy Corporation,IL,649196.0,36195.0,4362.0,Cooperative,247,5.05,48.910891,144.0,81.0,RFC,0.0,673963.0,0.0,0.0,0.0,0.0,0.0,0.0,56.25
2019.0,"Cotton Electric Coop, Inc",OK,762653.0,22356.0,4401.0,Cooperative,141.596,1.481,95.608373,79.0,0.0,SPP,0.0,792090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Covington Electric Coop, Inc",AL,392747.0,23357.0,4430.0,Cooperative,72.835,1.059,68.777148,57.0,0.0,SERC,0.0,412675.0,10.562,0.0,10.562,0.002689263062480426,0.0,0.002689263062480426,0.0
2019.0,Coweta-Fayette El Member Corp,GA,1623576.0,82443.0,4432.0,Cooperative,95.83,1.08,88.731481,87.0,0.0,SERC,0.0,1680931.0,91.68,0.0,91.68,0.005646794483288741,0.0,0.005646794483288741,0.0
2019.0,Craig-Botetourt Electric Coop,VA,82760.0,6746.0,4471.0,Cooperative,610.42,3.16,193.17089,13.0,0.0,RFC,0.0,92775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Crawford Electric Coop, Inc",MO,315812.0,20111.0,4524.0,Cooperative,343.21,2.312,148.44723,43.0,0.0,SERC,0.0,335800.0,14.735,0.0,14.735,0.004665750509796968,0.0,0.004665750509796968,0.0
2019.0,Crow Wing Cooperative Power & Light Comp,MN,625828.0,44789.0,4577.0,Cooperative,66.013,0.632,104.45095,95.0,0.0,MRO,0.0,663001.0,515.467,10.237,525.704,0.08236560205040362,0.001635752954485897,0.08400135500488952,0.0
2019.0,"Cumberland Valley Electric, Inc.",KY,424060.0,23593.0,4622.0,Cooperative,237,2.249,105.38017,55.0,0.0,SERC,0.0,442563.0,192.0,0.0,192.0,0.04527661180021695,0.0,0.04527661180021695,0.0
2019.0,Cuivre River Electric Coop Inc,MO,1367574.0,66816.0,4675.0,Cooperative,149.687,1.338,111.87369,118.0,70.0,SERC,0.0,1408485.0,194.151,0.0,194.151,0.014196745477758425,0.0,0.014196745477758425,59.32203389830508
2019.0,City of Cuyahoga Falls - (OH),OH,412078.0,25695.0,4683.0,Municipal,47.005,0.407,115.4914,37.0,2.0,RFC,0.0,448149.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405405405405405
2019.0,"Consumers Power, Inc",OR,407310.0,22744.0,4743.0,Cooperative,245,1.33,184.21053,75.0,75.0,WECC,0.0,436534.0,1444.148,0.706,1444.855,0.3545574623750951,0.00017333235128035157,0.35473104023962093,100.0
2019.0,Daviess Martin County R E M C,IN,407236.0,8214.0,4848.0,Cooperative,371,2.5,148.4,22.0,12.0,RFC,0.0,419940.0,0.39,0.0,0.39,9.576756475360726e-05,0.0,9.576756475360726e-05,54.54545454545454
2019.0,Dayton Power & Light Co,OH,3866368.0,265862.0,4922.0,Investor Owned,139.71,1.07,130.57009,491.0,0.0,RFC,0.0,4480684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,"Deaf Smith Electric Coop, Inc",TX,691813.0,14632.0,4939.0,Cooperative,643.3,3.2,201.03125,97.0,15.0,SPP,0.0,741319.0,0.0,0.0,0.0,0.0,0.0,0.0,15.463917525773196
2019.0,Decatur County Rural E M C,IN,363205.0,8050.0,4960.0,Cooperative,156.591,1.893,82.721078,27.0,0.0,RFC,0.0,371686.0,352.431,0.0,352.431,0.09703363114494569,0.0,0.09703363114494569,0.0
