name,state,total_mwh,total_cust,no,type,saidi_nomed,saifi_nomed,caidi_nomed,circuits,voltage,nerc,gen_mwh,purchase_mwh,ba,pv_mwh,wind_mwh,nm_mwh,ee_mwh,dem_res_customers,dem_res_mwh,wind_pct
"Talquin Electric Coop, Inc",FL,1014182.0,53747.0,18449.0,Cooperative,280.797,3.687,76.158666,86.0,0.0,FRCC,189.0,1062594.0,SEC,934.246,0.0,934.246,657.0,,,
Tampa Electric Co,FL,19783567.0,771959.0,18454.0,Investor Owned,85.71,1.36,63.022059,800.0,0.0,FRCC,19464415.0,1465419.0,TEC,1508.216,0.0,1508.216,86124.356,240.0,33816.21,
City of Taunton,MA,640323.0,39056.0,18488.0,Municipal,68.489,2.474,27.683508,56.0,25.0,NPCC,44529.0,636704.0,ISNE,0.0,0.0,0.0,295.0,11.0,31.0,
Taylor County Rural E C C,KY,549654.0,26705.0,18498.0,Cooperative,86.1,1.03,83.592233,67.0,0.0,RFC,0.0,577856.0,PJM,0.0,0.0,0.0,8.0,,,
Three Notch Elec Member Corp,GA,226385.0,14762.0,18499.0,Cooperative,.,.,.,37.0,0.0,SERC,0.0,246879.0,SEPA,0.0,0.0,0.0,,,,
City of Tell City - (IN),IN,184458.0,4244.0,18538.0,Municipal,3.032,0.043,70.511628,10.0,10.0,RFC,0.0,188365.0,MISO,0.0,0.0,0.0,,,,
City of Thomasville - (GA),GA,485757.0,15893.0,18848.0,Municipal,142.8,6.28,22.738854,41.0,0.0,SERC,0.0,506184.0,SOCO,0.0,0.0,0.0,,,,
Thumb Electric Coop of Mich,MI,172849.0,12274.0,18895.0,Cooperative,.,.,.,39.0,0.0,5-MISE,19.0,188409.0,MISO,0.0,0.0,0.0,2084.367,4701.0,0.0,
Tipmont Rural Elec Member Corp,IN,528542.0,27998.0,18940.0,Cooperative,213.84,2.16,99,61.0,24.0,RFC,0.0,548998.0,MISO,0.0,0.0,0.0,,,,
City of Tipp City - (OH),OH,171560.0,5100.0,18941.0,Municipal,28.529,.,.,12.0,9.0,RFC,0.0,180468.0,,,,,,,,
"Tri-County Electric Coop, Inc (IL)",IL,411509.0,16318.0,18955.0,Cooperative,92.2,1.14,80.877193,86.0,86.0,RFC,41.0,429367.0,MISO,0.0,0.0,0.0,,,,
Tri-County Elec Member Corp (GA),GA,401211.0,21762.0,18956.0,Cooperative,.,.,.,35.0,30.0,SERC,0.0,402644.0,SOCO,32.475,0.0,32.475,133.0,,,
Tri-County Elec Member Corp (NC),NC,557298.0,25300.0,18957.0,Cooperative,.,.,.,56.0,0.0,SERC,0.0,582938.0,CPLE,0.0,0.0,0.0,,,,
Twin County Electric Pwr Assn,MS,197394.0,12081.0,18961.0,Cooperative,283,.,.,43.0,39.0,SERC,0.0,218555.0,,,,,,,,
Twin Valley Electric Coop Inc,KS,34052.0,2936.0,18962.0,Cooperative,93.1,1.12,83.125,8.0,0.0,SPP,0.0,37368.0,SWPP,0.0,0.0,0.0,,,,
Trinity Valley Elec Coop Inc,TX,1366869.0,71870.0,18976.0,Cooperative,150.75,1.601,94.1599,110.0,0.0,,,,ERCO,1742.495,88.278,1830.773,,,,
The Toledo Edison Co,OH,1088474.0,93567.0,18997.0,Investor Owned,66.877,0.631,105.98574,255.0,235.0,RFC,0.0,1136241.0,PJM,0.0,0.0,0.0,88711.993,4.0,0.0,
"Tombigbee Electric Coop, Inc",AL,115753.0,9376.0,19027.0,Cooperative,532.459,3.1,171.76097,30.0,6.0,SERC,0.0,130705.0,,,,,,,,
Tideland Electric Member Corp,NC,345933.0,22931.0,19108.0,Cooperative,263.67,2.904,90.795455,42.0,0.0,,,,,,,,,,,
City of Traverse City - (MI),MI,311489.0,12599.0,19125.0,Municipal,64.284,0.615,104.52683,28.0,28.0,RFC,0.0,338959.0,MISO,0.0,0.0,0.0,4780.986,,,
Trenton Municipal Utilities - (MO),MO,70743.0,3020.0,19150.0,Municipal,.,.,.,17.0,0.0,SPP,176.0,77417.0,SWPP,0.0,0.0,0.0,,,,
Powder River Energy Corp,WY,2022576.0,26953.0,19156.0,Cooperative,199,1.63,122.08589,113.0,0.0,WECC,0.0,2192151.0,WACM,10.097,0.0,10.097,,,,
MiEnergy Cooperative,IA,226974.0,7041.0,19157.0,Cooperative,75.61,0.934,80.952891,69.0,0.0,,,,MISO,2729.77,52.197,2781.967,1969.95,3371.0,0.0,
MiEnergy Cooperative,MN,323440.0,15937.0,19157.0,Cooperative,100.789,0.836,120.561,84.0,0.0,MRO,0.0,676643.0,MISO,2868.629,226.007,3094.636,3664.05,6272.0,0.0,
Tri-County Electric Coop Assn (MO),MO,90894.0,6425.0,19158.0,Cooperative,.,.,.,25.0,25.0,SERC,0.0,101147.0,AECI,0.0,0.0,0.0,,,,
"Tri-County Electric Coop, Inc (TX)",TX,3013987.0,115134.0,19159.0,Cooperative,154.392,1.126,137.11545,178.0,0.0,TRE,0.0,3115744.0,ERCO,0.0,0.0,0.0,,,,
"Tri-County Electric Coop, Inc (OK)",OK,799712.0,20727.0,19160.0,Cooperative,.,.,.,120.0,120.0,SPP,0.0,878404.0,SWPP,0.0,0.0,0.0,,17.0,283.0,
"Tri-County Electric Coop, Inc (FL)",FL,318153.0,18659.0,19161.0,Cooperative,120.933,1.501,80.568288,53.0,45.0,FRCC,0.0,331892.0,SEC,0.0,0.0,0.0,239.0,,,
Tri-County Elec Member Corp (TN),KY,627247.0,24990.0,19162.0,Cooperative,278.18,3.14,88.592357,40.0,0.0,,,,,,,,,,,
Tri-County Elec Member Corp (TN),TN,526657.0,27930.0,19162.0,Cooperative,236.65,3.34,70.853293,35.0,0.0,SERC,0.0,1208508.0,,,,,,,,
Trico Electric Cooperative Inc,AZ,724628.0,48274.0,19189.0,Cooperative,43.043,0.472,91.192797,65.0,31.0,WECC,440.0,761005.0,WALC,19176.301,0.274,19176.575,259.404,21.0,0.0,
Diverse Power Incorporated,AL,8831.0,669.0,19219.0,Cooperative,92.962,2.159,43.057897,2.0,2.0,,,,,,,,,,,
Diverse Power Incorporated,GA,698507.0,34645.0,19219.0,Cooperative,120.862,1.529,79.046436,69.0,69.0,SERC,0.0,745030.0,SOCO,84.454,0.0,84.454,,,,
City of Troy - (AL),AL,413024.0,8044.0,19225.0,Municipal,93.999,1.5,62.666,21.0,0.0,SERC,0.0,418797.0,,,,,,,,
Truckee Donner P U D,CA,156715.0,14079.0,19229.0,Political Subdivision,.,.,.,17.0,17.0,WECC,673.0,160683.0,NEVP,0.0,0.0,0.0,848.786,,,
Tullahoma Board-Public Utils,TN,282696.0,10897.0,19266.0,Municipal,25.127,0.745,33.727517,12.0,0.0,SERC,0.0,294177.0,,,,,,,,
Turlock Irrigation District,CA,2045819.0,103264.0,19281.0,Political Subdivision,59,0.59,100,113.0,0.0,WECC,2080907.0,1341973.0,TIDC,0.0,0.0,0.0,11513.0,,,
Southeastern Electric Coop Inc - (SD),SD,646989.0,18547.0,19293.0,Cooperative,.,.,.,123.0,0.0,MRO,0.0,660232.0,SWPP,26.897,0.0,26.897,,,,
Two Rivers Water & Light,WI,79997.0,6293.0,19324.0,Municipal,.,.,.,5.0,4.0,MISO,0.0,83414.0,MISO,0.0,0.0,0.0,,,,
Umatilla Electric Coop Assn,OR,3034731.0,15548.0,19325.0,Cooperative,104.135,1.035,100.61353,175.0,0.0,WECC,1384.0,3098538.0,BPAT,0.0,0.0,0.0,19865.744,,,
"UGI Utilities, Inc",PA,749665.0,62560.0,19390.0,Investor Owned,182,0.96,189.58333,51.0,0.0,RFC,0.0,823920.0,PJM,0.0,0.0,0.0,10950.0,,,
Tri-County Electric Coop (MI),MI,348706.0,26105.0,19396.0,Cooperative,156,1.23,126.82927,62.0,0.0,RFC,0.0,368550.0,MISO,2262.312,5.66,2267.972,3639.9,6004.0,0.0,
Union Electric Membership Corp - (NC),NC,1361251.0,77706.0,19435.0,Cooperative,37.5,0.41,91.463415,132.0,90.0,SERC,0.0,1470460.0,DUK,0.0,0.0,0.0,3657.16,,,
Union Electric Co - (MO),MO,32119373.0,1230248.0,19436.0,Investor Owned,106,0.9,117.77778,2245.0,0.0,SERC,36490411.0,2991045.0,MISO,0.0,0.0,0.0,390707.206,12491.0,2197.986,
Western Iowa Power Coop,IA,103927.0,5509.0,19437.0,Cooperative,27,0.27,100,52.0,52.0,MRO,0.0,111809.0,SWPP,0.008,0.0,0.008,,,,
"Southern Indiana R E C, Inc",IN,453549.0,9321.0,19445.0,Cooperative,133.9,1.22,109.7541,27.0,0.0,RFC,0.0,462811.0,MISO,0.0,0.0,0.0,,,,
Duke Energy Kentucky,KY,4070995.0,143431.0,19446.0,Investor Owned,170,1.31,129.77099,137.0,0.0,RFC,3303725.0,1535019.0,PJM,0.0,0.0,0.0,39667.618,12449.0,0.0,
United Electric Coop Service Inc - (TX),TX,2463002.0,87738.0,19490.0,Cooperative,98.367,1.192,82.522651,190.0,0.0,TRE,0.0,2575815.0,ERCO,1410.024,18.059,1428.083,6634.316,36457.0,417.457,
Union County Electric Coop Inc,SD,32373.0,1645.0,19493.0,Cooperative,.,.,.,20.0,0.0,MRO,0.0,33990.0,,,,,,,,
United Illuminating Co,CT,1910590.0,229634.0,19497.0,Investor Owned,.,.,.,344.0,0.0,NPCC,0.0,2074338.0,ISNE,2864.452,7.04,3219.132,60805.74,,,
"United Power, Inc",CO,2739378.0,93527.0,19499.0,Cooperative,.,.,.,163.0,0.0,WECC,0.0,2796816.0,WACM,15180.709,0.0,15180.709,14659.29,6902.0,2.0,
"Union Rural Electric Coop, Inc",OH,524888.0,10438.0,19501.0,Cooperative,84.2,1.313,64.127951,16.0,0.0,RFC,0.0,535488.0,,,,,,,,
"Black Hills Power, Inc. d/b/a",MT,137021.0,41.0,19545.0,Investor Owned,436.807,3,145.60233,1.0,0.0,,,,,,,,,,,
"Black Hills Power, Inc. d/b/a",SD,1502916.0,70358.0,19545.0,Investor Owned,72.144,1.33,54.243609,163.0,0.0,WECC,1768456.0,1510831.0,,,,,4830.032,,,
"Black Hills Power, Inc. d/b/a",WY,169467.0,2646.0,19545.0,Investor Owned,15.278,0.094,162.53191,6.0,0.0,,,,,,,,,,,
Hawaiian Electric Co Inc,HI,6563104.0,306368.0,19547.0,Investor Owned,89.4,0.836,106.9378,457.0,0.0,HI,3493776.0,3340046.0,HECO,0.0,0.0,0.0,,33485.0,872.85,
Homer Electric Assn Inc,AK,443838.0,32183.0,19558.0,Cooperative,201,1.08,186.11111,34.0,0.0,AK,118.0,477912.0,,,,,,,,
Upper Cumberland E M C,TN,1056255.0,50488.0,19574.0,Cooperative,124.22,.,.,61.0,0.0,SERC,0.0,1104839.0,,,,,,,,
Upper Peninsula Power Company,MI,767093.0,52889.0,19578.0,Investor Owned,211.5,1.78,118.82022,89.0,0.0,RFC,132457.0,718588.0,MISO,0.0,0.0,0.0,9764.517,,,
Upshur Rural Elec Coop Corp,TX,888422.0,46806.0,19579.0,Cooperative,1225.3,7.46,164.24933,117.0,0.0,SPP,0.0,944797.0,SWPP,281.17,0.0,281.17,,,,
Utilities Dist-Western IN REMC,IN,320798.0,19114.0,19667.0,Cooperative,420.46,3.46,121.52023,44.0,14.0,RFC,0.0,340549.0,MISO,286.745,0.0,286.745,,,,
"UNS Electric, Inc",AZ,1687399.0,97992.0,19728.0,Investor Owned,7.38,0.02,369,115.0,0.0,WECC,979880.0,1247665.0,TEPC,36510.087,46.736,36556.823,20396.26,30.0,0.0,
Verdigris Valley Elec Coop Inc,OK,673687.0,37231.0,19785.0,Cooperative,.,.,.,74.0,0.0,SPP,0.0,720907.0,AECI,0.0,0.0,0.0,,,,
Verendrye Electric Coop Inc,ND,599807.0,16374.0,19790.0,Cooperative,81.48,0.93,87.612903,103.0,103.0,MRO,0.0,618703.0,MISO,6.679,3.833,10.512,2251.0,3738.0,0.0,
